"文件","行数","类别","扩展名","符号数","主要作用"
"components/scholar-extension-entry.tsx","176","React界面组件",".tsx","9","该文件属于“React界面组件”模块"
"components/sidebar.tsx","575","React界面组件",".tsx","52","该文件属于“React界面组件”模块"
"components/translation-shell.tsx","352","React界面组件",".tsx","27","该文件属于“React界面组件”模块"
"desktop/main.cjs","771","桌面本地连接器",".cjs","61","该文件属于“桌面本地连接器”模块"
"desktop/preload.cjs","7","桌面本地连接器",".cjs","0","该文件属于“桌面本地连接器”模块"
"desktop/README.md","58","桌面本地连接器",".md","0","该文件属于“桌面本地连接器”模块"
"docs/DESKTOP_CONNECTION.md","161","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/development-rules.md","104","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/effect-first-development.md","114","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/EXTENSION.md","143","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/glossary.md","227","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/product-roadmap.md","54","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/qa-checklist.md","165","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/regression-tests.md","428","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/system-archive.md","430","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"docs/word-rendering-fixed-rules-archive.md","134","设计与维护文档",".md","0","该文件属于“设计与维护文档”模块"
"electron-builder.local.json","26","项目配置",".json","0","该文件属于“项目配置”模块"
"eslint.config.mjs","19","项目配置",".mjs","4","该文件属于“项目配置”模块"
"extensions/google-scholar/background.js","411","Chrome扩展",".js","34","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/connect-bridge.js","25","Chrome扩展",".js","1","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/content.css","189","Chrome扩展",".css","0","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/content.js","590","Chrome扩展",".js","42","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/manifest.json","39","Chrome扩展",".json","0","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/popup.css","106","Chrome扩展",".css","0","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/popup.js","245","Chrome扩展",".js","28","该文件属于“Chrome扩展”模块"
"extensions/google-scholar/README.md","38","Chrome扩展",".md","0","该文件属于“Chrome扩展”模块"
"lib/ai/chat-models.ts","86","AI模型、成本与用量基础设施",".ts","6","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/cost.ts","77","AI模型、成本与用量基础设施",".ts","4","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/errors.ts","15","AI模型、成本与用量基础设施",".ts","1","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/image-generation.ts","154","AI模型、成本与用量基础设施",".ts","14","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/openai.ts","498","AI模型、成本与用量基础设施",".ts","37","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/provider.ts","314","AI模型、成本与用量基础设施",".ts","29","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/types.ts","61","AI模型、成本与用量基础设施",".ts","15","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/ai/usage-ledger.ts","79","AI模型、成本与用量基础设施",".ts","10","该文件属于“AI模型、成本与用量基础设施”模块"
"lib/analysis/classifier.ts","70","上传附件解析与证据注入",".ts","5","该文件属于“上传附件解析与证据注入”模块"
"lib/analysis/engine.ts","22","上传附件解析与证据注入",".ts","5","该文件属于“上传附件解析与证据注入”模块"
"lib/analysis/evidence.ts","37","上传附件解析与证据注入",".ts","7","该文件属于“上传附件解析与证据注入”模块"
"lib/analysis/prompt-builder.ts","152","上传附件解析与证据注入",".ts","10","该文件属于“上传附件解析与证据注入”模块"
"lib/analysis/types.ts","52","上传附件解析与证据注入",".ts","10","该文件属于“上传附件解析与证据注入”模块"
"lib/analysis/workflow.ts","185","上传附件解析与证据注入",".ts","13","该文件属于“上传附件解析与证据注入”模块"
"lib/chat/client.ts","297","聊天路由、上下文、工具与历史",".ts","14","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/cloud-sync.ts","205","聊天路由、上下文、工具与历史",".ts","15","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/cloud-types.ts","142","聊天路由、上下文、工具与历史",".ts","18","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/context-budget.ts","91","聊天路由、上下文、工具与历史",".ts","11","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/context-bundle.ts","382","聊天路由、上下文、工具与历史",".ts","27","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/export-guidance.ts","31","聊天路由、上下文、工具与历史",".ts","4","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/history.ts","254","聊天路由、上下文、工具与历史",".ts","27","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/intent-router.ts","1035","聊天路由、上下文、工具与历史",".ts","52","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/library-command.ts","388","聊天路由、上下文、工具与历史",".ts","20","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/message-normalize.ts","537","聊天路由、上下文、工具与历史",".ts","38","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/model-identity.ts","45","聊天路由、上下文、工具与历史",".ts","5","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/response-style.ts","37","聊天路由、上下文、工具与历史",".ts","4","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/server/attachments.ts","39","聊天服务端辅助模块",".ts","5","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/errors.ts","103","聊天服务端辅助模块",".ts","6","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/library-context.ts","90","聊天服务端辅助模块",".ts","17","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/prepare-messages.ts","50","聊天服务端辅助模块",".ts","8","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/server/source-images.ts","173","聊天服务端辅助模块",".ts","12","该文件属于“聊天服务端辅助模块”模块"
"lib/chat/stream-protocol.ts","44","聊天路由、上下文、工具与历史",".ts","2","该文件属于“聊天路由、上下文、工具与历史”模块"
"lib/chat/task-router.ts","136","聊天路由、上下文、工具与历史",".ts","7","该文件属于“聊天路由、上下文、工具与历史”模块"
